student_name,age,college_name,place,degree,qualification,skills_offered,skills_wanted,experience_level,learning_goal,preferred_learning_style,availability_days,availability_times,weekly_commitment_hours,swap_history_count,average_rating,response_rate,reliability_score,domain_interest,tech_stack_familiarity,project_interest_area
Eva Jain,18,VIT Vellore,Bengaluru,BA,Graduate,"[""Illustrator"", ""PowerPoint"", ""Kubernetes"", ""Machine Learning""]","[""Canva"", ""Angular"", ""Video Editing"", ""Deep Learning""]",Beginner,Crack internship,Mixed,Both,Night,6,30,3.5,0.81,0.0,Data Science,"[""Canva"", ""PowerBI"", ""Java"", ""Django""]",Hackathons
Ira Saha,19,Banaras Hindu University,Mumbai,MA,Postgraduate,"[""Content Writing"", ""Machine Learning"", ""C++"", ""NoSQL"", ""Public Speaking""]","[""JavaScript"", ""Deep Learning"", ""Angular""]",Intermediate,Learn new language,1:1,Weekends,Night,3,26,3.5,0.91,0.04,Software,"[""JavaScript"", ""Python"", ""AWS"", ""React""]",Academic
Myra Reddy,23,Pune University,Bhopal,B.Sc,12th Pass,"[""Java"", ""SQL"", ""PowerPoint"", ""Photoshop""]","[""Python"", ""Excel""]",Expert,Prepare for job,Group sessions,Weekdays,Evening,7,19,3.5,0.59,0.84,Finance,"[""Django"", ""Node.js"", ""SQL""]",Hackathons
Muhammad Kapoor,22,Calcutta University,Hyderabad,M.Tech,Postgraduate,"[""Canva"", ""Kubernetes"", ""Figma"", ""PowerPoint"", ""Project Management""]","[""Digital Marketing"", ""Public Speaking"", ""Angular""]",Expert,Build portfolio,Async exchange,Both,Night,2,1,3.7,0.58,0.0,Content Writing,"[""Django""]",Open Source
Sai Das,28,Pune University,Chandigarh,M.Tech,Postgraduate,"[""SQL"", ""Git"", ""Deep Learning"", ""C++"", ""CSS""]","[""Machine Learning"", ""Data Analysis"", ""Docker""]",Beginner,Hackathon prep,1:1,Both,Afternoon,4,8,4.7,0.8,0.62,Finance,"[""React"", ""TensorFlow"", ""PowerBI"", ""SQL""]",Startups
Eva Roy,28,IIT Madras,Patna,M.Tech,Graduate,"[""Content Writing"", ""Docker"", ""SEO"", ""Machine Learning"", ""Photoshop""]","[""PowerPoint"", ""Angular"", ""Photoshop"", ""Graphic Design""]",Intermediate,Prepare for job,Group sessions,Weekends,Afternoon,20,24,4.8,0.98,0.0,Content Writing,"[""TensorFlow""]",Startups
Aditya Iyer,24,Christ University,Kochi,B.Tech,Postgraduate,"[""Photoshop"", ""Graphic Design"", ""Figma"", ""NoSQL"", ""Docker""]","[""CSS"", ""JavaScript"", ""Photoshop""]",Intermediate,Academic research,Mixed,Both,Evening,12,5,3.1,0.77,0.2,Finance,"[""Flask"", ""JavaScript""]",Freelancing
Aaradhya Chatterjee,25,Lovely Professional University,Hyderabad,B.Tech,Postgraduate,"[""Data Analysis"", ""Graphic Design"", ""PowerPoint""]","[""Public Speaking"", ""Deep Learning""]",Expert,Build portfolio,1:1,Weekdays,Morning,17,14,4.8,0.94,0.43,Business,"[""AWS"", ""MongoDB""]",Open Source
Aditya Reddy,26,Christ University,Bhopal,B.Sc,Graduate,"[""Git"", ""Project Management"", ""HTML"", ""Graphic Design""]","[""Project Management"", ""Deep Learning"", ""Git""]",Intermediate,Prepare for job,Group sessions,Weekends,Afternoon,6,19,3.1,1.0,0.16,Business,"[""Django""]",Academic
Siya Iyer,27,VIT Vellore,Patna,MBA,12th Pass,"[""SEO"", ""Photoshop"", ""Project Management"", ""HTML"", ""CSS""]","[""Data Analysis"", ""Machine Learning"", ""Python"", ""Photography""]",Beginner,Prepare for job,Async exchange,Weekends,Night,11,19,4.6,0.6,0.21,Marketing,"[""Azure"", ""PowerBI"", ""Flask""]",Open Source
Ira Sharma,27,Jadavpur University,Lucknow,BBA,Graduate,"[""Figma"", ""Machine Learning""]","[""Content Writing"", ""Excel"", ""Machine Learning"", ""Figma""]",Expert,Freelancing,1:1,Weekends,Morning,20,1,3.7,0.81,1.0,Content Writing,"[""GCP"", ""SQL"", ""Canva""]",Freelancing
Reyansh Khan,21,Christ University,Mumbai,BA,Graduate,"[""Public Speaking"", ""Figma"", ""CSS"", ""Java"", ""Angular""]","[""Photography"", ""NoSQL"", ""Photoshop""]",Intermediate,Build portfolio,Async exchange,Weekends,Morning,4,17,4.7,0.86,0.24,Design,"[""Canva"", ""GCP""]",Freelancing
Aditya Jain,18,Anna University,Kochi,B.Tech,12th Pass,"[""SEO"", ""CSS"", ""C++""]","[""Deep Learning"", ""NoSQL""]",Expert,Hackathon prep,Mixed,Weekends,Evening,17,26,3.5,0.91,0.96,Software,"[""Node.js""]",Competitions
Ira Das,28,Jadavpur University,Bhopal,BBA,Postgraduate,"[""Content Writing"", ""JavaScript""]","[""React"", ""Photoshop"", ""Data Analysis"", ""Machine Learning""]",Expert,Crack internship,1:1,Both,Night,13,30,4.1,0.58,0.57,Data Science,"[""Flask"", ""SQL"", ""Django"", ""PowerBI""]",Hackathons
Vihaan Kapoor,27,Jamia Millia Islamia,Delhi,MBA,Postgraduate,"[""HTML"", ""SEO"", ""Canva"", ""Content Writing""]","[""Content Writing"", ""Data Analysis""]",Expert,Academic research,Group sessions,Weekdays,Night,18,11,4.1,0.97,1.0,Finance,"[""Azure"", ""Django"", ""Canva"", ""GCP""]",Competitions
Ira Mishra,22,Pune University,Pune,MA,Graduate,"[""Content Writing"", ""Kubernetes""]","[""Public Speaking"", ""CSS"", ""Python"", ""SQL""]",Beginner,Crack internship,Async exchange,Weekends,Evening,19,9,3.8,0.82,0.22,Software,"[""Java"", ""Azure"", ""Tableau""]",Academic
Sai Jain,23,VIT Vellore,Hyderabad,BBA,Graduate,"[""Video Editing"", ""Canva""]","[""Angular"", ""CSS"", ""Java""]",Beginner,Learn new language,Mixed,Both,Evening,9,6,3.8,0.73,1.0,Entrepreneurship,"[""Flask"", ""Node.js""]",Academic
Aryan Roy,26,Osmania University,Delhi,BA,12th Pass,"[""PowerPoint"", ""Deep Learning""]","[""Graphic Design"", ""JavaScript""]",Expert,Contribute to open-source,Group sessions,Weekdays,Evening,18,22,4.4,0.72,0.77,AI/ML,"[""React"", ""Java"", ""Azure"", ""SQL""]",Freelancing
Aadhya Mukherjee,28,BITS Pilani,Pune,MBA,Graduate,"[""Photoshop"", ""SQL"", ""Illustrator"", ""PowerPoint""]","[""Docker"", ""JavaScript"", ""CSS"", ""Canva""]",Expert,Academic research,Async exchange,Weekends,Evening,17,29,3.8,0.82,0.69,Design,"[""Python"", ""SQL"", ""AWS"", ""React""]",Competitions
Vivaan Ghosh,19,Osmania University,Kolkata,MBA,Graduate,"[""Graphic Design"", ""C++"", ""Project Management"", ""Machine Learning"", ""Data Analysis""]","[""C++"", ""Python""]",Intermediate,Learn new language,Group sessions,Both,Afternoon,6,20,4.0,0.86,0.7,Software,"[""MongoDB"", ""Java"", ""PowerBI"", ""JavaScript""]",Open Source
Arjun Patel,27,Manipal Institute of Technology,Delhi,M.Sc,Graduate,"[""Illustrator"", ""SEO"", ""Python""]","[""SQL"", ""Python"", ""Photography"", ""Digital Marketing""]",Beginner,Freelancing,Mixed,Both,Afternoon,17,9,3.5,0.71,0.56,Finance,"[""SQL""]",Startups
Aditya Singh,18,Jadavpur University,Pune,B.Tech,12th Pass,"[""SEO"", ""Machine Learning"", ""Kubernetes"", ""Git""]","[""Photoshop"", ""SQL""]",Expert,Learn new language,Group sessions,Both,Evening,16,26,4.1,0.84,0.19,Software,"[""React"", ""Flask"", ""Canva"", ""MongoDB""]",Academic
Anaya Khan,27,Mumbai University,Patna,BA,Postgraduate,"[""Data Analysis"", ""Photography""]","[""Graphic Design"", ""SEO"", ""Machine Learning""]",Expert,Prepare for job,Async exchange,Weekdays,Morning,12,29,4.5,0.66,0.38,Software,"[""PyTorch""]",Freelancing
Arjun Ghosh,20,IIT Delhi,Patna,MBA,Postgraduate,"[""Deep Learning"", ""Docker"", ""Python""]","[""Figma"", ""NoSQL""]",Expert,Freelancing,Group sessions,Weekdays,Afternoon,8,0,4.8,0.68,,Data Science,"[""PowerBI"", ""JavaScript"", ""Flask"", ""Canva""]",Competitions
Anaya Iyer,23,BITS Pilani,Jaipur,MBA,12th Pass,"[""Content Writing"", ""Public Speaking""]","[""JavaScript"", ""HTML""]",Intermediate,Academic research,Group sessions,Weekends,Afternoon,9,30,3.3,0.73,0.8,Data Science,"[""Tableau"", ""Node.js"", ""React"", ""PowerBI""]",Academic
Sara Verma,23,BITS Pilani,Ahmedabad,BBA,12th Pass,"[""SQL"", ""Project Management""]","[""Java"", ""React"", ""Git""]",Beginner,Hackathon prep,Async exchange,Weekends,Afternoon,10,8,4.9,0.65,0.5,Data Science,"[""AWS"", ""Flask"", ""Tableau""]",Freelancing
Aaradhya Verma,23,Pune University,Kolkata,MA,Graduate,"[""Photography"", ""Docker"", ""Figma"", ""Photoshop""]","[""PowerPoint"", ""Photography"", ""Digital Marketing""]",Intermediate,Contribute to open-source,1:1,Weekdays,Night,15,17,4.3,0.83,0.0,Cybersecurity,"[""PowerBI"", ""Flask"", ""MongoDB""]",Competitions
Aryan Verma,28,Anna University,Chandigarh,MA,Graduate,"[""NoSQL"", ""Deep Learning"", ""React"", ""Photoshop""]","[""Machine Learning"", ""HTML"", ""Canva""]",Expert,Hackathon prep,Async exchange,Weekends,Evening,8,17,4.4,0.73,0.59,Business,"[""Django"", ""Node.js""]",Competitions
Aaradhya Sharma,25,Jadavpur University,Kochi,B.Tech,12th Pass,"[""JavaScript"", ""React"", ""HTML"", ""SEO"", ""C++""]","[""Video Editing"", ""JavaScript"", ""Angular""]",Beginner,Contribute to open-source,Async exchange,Both,Night,20,21,4.4,0.71,0.48,Entrepreneurship,"[""Django"", ""GCP""]",Competitions
Arnav Mukherjee,20,Calcutta University,Mumbai,M.Sc,Graduate,"[""Project Management"", ""Illustrator"", ""Angular""]","[""Deep Learning"", ""Python"", ""React""]",Intermediate,Contribute to open-source,Async exchange,Weekends,Afternoon,14,4,3.6,0.56,0.75,Marketing,"[""MongoDB"", ""PyTorch"", ""GCP"", ""JavaScript""]",Startups
Anaya Malhotra,18,SRM University,Bengaluru,BBA,Postgraduate,"[""SQL"", ""Illustrator"", ""Machine Learning""]","[""NoSQL"", ""Excel"", ""Data Analysis"", ""C++""]",Expert,Build portfolio,Group sessions,Weekdays,Afternoon,10,4,3.8,0.59,0.5,Data Science,"[""Django"", ""Canva"", ""Tableau""]",Startups
Siya Verma,22,Lovely Professional University,Jaipur,B.Com,Postgraduate,"[""Python"", ""Canva"", ""Java"", ""Photography"", ""Graphic Design""]","[""NoSQL"", ""Java"", ""Public Speaking""]",Intermediate,Prepare for job,Mixed,Weekends,Evening,2,21,4.1,0.85,0.0,Marketing,"[""MongoDB"", ""PowerBI""]",Startups
Eva Das,28,Pune University,Bengaluru,B.Tech,Graduate,"[""NoSQL"", ""SEO"", ""Content Writing"", ""Java""]","[""CSS"", ""Figma""]",Expert,Contribute to open-source,1:1,Both,Evening,20,18,5.0,0.65,0.67,Software,"[""Java"", ""Flask"", ""PyTorch"", ""GCP""]",Competitions
Siya Reddy,22,BITS Pilani,Pune,BBA,Postgraduate,"[""React"", ""Photoshop"", ""Video Editing"", ""Machine Learning"", ""Angular""]","[""Docker"", ""Public Speaking"", ""PowerPoint""]",Expert,Build portfolio,1:1,Weekends,Afternoon,2,21,4.4,0.66,0.48,Design,"[""Node.js"", ""Azure""]",Hackathons
Arjun Gupta,25,VIT Vellore,Bhopal,B.Tech,12th Pass,"[""Content Writing"", ""Graphic Design""]","[""C++"", ""HTML"", ""NoSQL"", ""Kubernetes""]",Beginner,Academic research,Group sessions,Weekends,Evening,20,17,4.6,0.96,0.06,AI/ML,"[""PyTorch""]",Academic
Siya Chatterjee,23,Calcutta University,Delhi,MBA,Postgraduate,"[""Angular"", ""Machine Learning"", ""Photoshop"", ""Content Writing""]","[""Public Speaking"", ""Photoshop"", ""SQL"", ""Git""]",Expert,Contribute to open-source,Group sessions,Both,Afternoon,5,19,4.8,0.98,0.95,Business,"[""Tableau"", ""Azure""]",Open Source
Ira Singh,24,Delhi University,Patna,M.Sc,Graduate,"[""Illustrator"", ""Content Writing"", ""C++""]","[""Deep Learning"", ""Canva"", ""Python""]",Intermediate,Crack internship,Group sessions,Weekends,Night,2,6,4.4,0.74,0.17,Marketing,"[""Flask"", ""JavaScript"", ""Python"", ""Tableau""]",Competitions
Aadhya Sharma,21,BITS Pilani,Indore,MBA,12th Pass,"[""SEO"", ""CSS"", ""SQL"", ""Canva""]","[""Graphic Design"", ""HTML"", ""Public Speaking""]",Beginner,Prepare for job,Mixed,Weekdays,Afternoon,11,26,3.3,0.54,0.81,Finance,"[""Flask"", ""Django""]",Startups
Eva Chatterjee,20,Christ University,Lucknow,M.Sc,12th Pass,"[""Machine Learning"", ""Angular"", ""Video Editing""]","[""Docker"", ""Canva""]",Expert,Learn new language,Group sessions,Weekends,Night,6,20,3.9,0.86,0.25,Design,"[""Azure"", ""TensorFlow""]",Open Source
Muhammad Chatterjee,27,Anna University,Delhi,B.Sc,Graduate,"[""Excel"", ""Project Management""]","[""Photography"", ""Video Editing"", ""JavaScript"", ""Docker""]",Intermediate,Hackathon prep,Async exchange,Weekends,Night,5,0,3.4,0.62,,Data Science,"[""GCP"", ""Canva""]",Freelancing
Avni Mukherjee,26,VIT Vellore,Ahmedabad,M.Sc,12th Pass,"[""Deep Learning"", ""Graphic Design"", ""NoSQL"", ""Excel"", ""SEO""]","[""JavaScript"", ""Content Writing""]",Expert,Hackathon prep,Group sessions,Weekends,Evening,8,6,3.7,0.56,0.83,Marketing,"[""Canva"", ""Flask"", ""Azure"", ""React""]",Open Source
Muhammad Verma,21,Amity University,Hyderabad,MA,Postgraduate,"[""SEO"", ""Illustrator""]","[""C++"", ""Docker"", ""Machine Learning"", ""JavaScript""]",Beginner,Academic research,Mixed,Weekdays,Morning,18,22,4.3,0.95,0.86,AI/ML,"[""React"", ""PyTorch"", ""Azure"", ""AWS""]",Academic
Aaradhya Malhotra,27,BITS Pilani,Kolkata,BBA,12th Pass,"[""Public Speaking"", ""Figma"", ""NoSQL"", ""Python"", ""SQL""]","[""Video Editing"", ""Java"", ""Docker"", ""JavaScript""]",Beginner,Crack internship,1:1,Both,Evening,10,22,3.3,0.97,0.73,AI/ML,"[""Python"", ""SQL"", ""Node.js""]",Academic
Vihaan Patel,24,Manipal Institute of Technology,Hyderabad,MBA,12th Pass,"[""Excel"", ""React"", ""Deep Learning""]","[""React"", ""Java"", ""NoSQL""]",Intermediate,Academic research,Mixed,Weekends,Morning,12,15,3.9,0.72,0.53,Data Science,"[""Azure"", ""PowerBI""]",Academic
Arnav Gupta,25,Anna University,Kochi,M.Sc,Graduate,"[""PowerPoint"", ""C++""]","[""Photoshop"", ""HTML"", ""Content Writing"", ""Project Management""]",Expert,Freelancing,Mixed,Both,Evening,20,3,3.2,0.79,0.33,Cybersecurity,"[""Django"", ""Flask"", ""SQL""]",Academic
Arjun Chatterjee,26,Mumbai University,Bengaluru,M.Sc,Graduate,"[""Public Speaking"", ""SQL""]","[""Angular"", ""Deep Learning"", ""Data Analysis""]",Beginner,Build portfolio,1:1,Both,Morning,9,14,4.8,0.96,0.07,Design,"[""PowerBI"", ""Azure"", ""MongoDB""]",Freelancing
Anika Patel,18,Manipal Institute of Technology,Pune,B.Tech,12th Pass,"[""Public Speaking"", ""C++"", ""Illustrator""]","[""C++"", ""SQL""]",Intermediate,Learn new language,1:1,Both,Afternoon,14,29,5.0,0.74,0.17,Finance,"[""PyTorch"", ""Node.js"", ""JavaScript"", ""Canva""]",Startups
Aaradhya Joshi,18,Jamia Millia Islamia,Bengaluru,B.Sc,12th Pass,"[""React"", ""NoSQL"", ""Python""]","[""Excel"", ""Video Editing"", ""Graphic Design""]",Intermediate,Learn new language,Async exchange,Weekends,Night,12,2,3.6,0.64,1.0,Data Science,"[""Java"", ""AWS"", ""PowerBI"", ""Node.js""]",Freelancing
Aaradhya Mishra,28,Banaras Hindu University,Patna,M.Tech,Postgraduate,"[""Machine Learning"", ""Photography"", ""Project Management""]","[""Video Editing"", ""Figma""]",Intermediate,Crack internship,Async exchange,Weekdays,Evening,19,29,4.5,0.59,0.31,Content Writing,"[""Python"", ""Canva"", ""PyTorch"", ""Java""]",Competitions
Muhammad Roy,22,VIT Vellore,Jaipur,B.Com,Graduate,"[""Excel"", ""Data Analysis""]","[""Deep Learning"", ""React"", ""Java"", ""Illustrator""]",Intermediate,Hackathon prep,Async exchange,Weekdays,Morning,19,12,4.4,0.84,0.83,Finance,"[""GCP""]",Open Source
Vihaan Verma,18,NIT Trichy,Patna,BA,Postgraduate,"[""Machine Learning"", ""SEO"", ""JavaScript"", ""Docker"", ""React""]","[""PowerPoint"", ""React"", ""Excel""]",Beginner,Hackathon prep,Mixed,Weekends,Evening,10,18,4.4,0.87,1.0,Design,"[""React"", ""Python""]",Startups
Eva Malhotra,21,VIT Vellore,Patna,M.Tech,Graduate,"[""Git"", ""Video Editing"", ""Kubernetes""]","[""CSS"", ""React""]",Intermediate,Hackathon prep,Group sessions,Weekends,Morning,14,23,4.1,0.98,0.65,Finance,"[""React"", ""PyTorch"", ""JavaScript"", ""TensorFlow""]",Open Source
Eva Mukherjee,28,IIT Delhi,Ahmedabad,B.Tech,12th Pass,"[""Content Writing"", ""Photography"", ""Canva""]","[""Illustrator"", ""Graphic Design""]",Intermediate,Learn new language,1:1,Weekdays,Morning,19,22,3.8,0.63,0.55,Content Writing,"[""PowerBI"", ""JavaScript"", ""PyTorch"", ""Azure""]",Hackathons
Eva Jain,26,Anna University,Kochi,B.Com,12th Pass,"[""Excel"", ""JavaScript""]","[""React"", ""Graphic Design""]",Expert,Academic research,Group sessions,Weekdays,Afternoon,15,16,4.6,0.73,0.31,Data Science,"[""Java"", ""Python"", ""PyTorch""]",Hackathons
Arnav Roy,18,Amity University,Kochi,B.Com,12th Pass,"[""NoSQL"", ""Public Speaking"", ""Canva""]","[""JavaScript"", ""Canva"", ""React""]",Beginner,Freelancing,Mixed,Both,Morning,3,27,3.0,0.83,0.59,Cybersecurity,"[""GCP"", ""Python""]",Open Source
Aryan Das,25,Osmania University,Pune,M.Tech,Postgraduate,"[""CSS"", ""Project Management"", ""Python"", ""Public Speaking"", ""Data Analysis""]","[""Kubernetes"", ""Angular"", ""JavaScript"", ""Video Editing""]",Beginner,Learn new language,Async exchange,Weekdays,Afternoon,11,25,4.7,0.73,0.12,Finance,"[""AWS"", ""MongoDB"", ""Python""]",Startups
Avni Joshi,19,VIT Vellore,Ahmedabad,B.Tech,12th Pass,"[""Machine Learning"", ""SQL"", ""Public Speaking"", ""Digital Marketing""]","[""PowerPoint"", ""Excel"", ""Public Speaking"", ""CSS""]",Beginner,Contribute to open-source,Group sessions,Both,Evening,14,15,4.8,0.55,0.2,Entrepreneurship,"[""Java"", ""PowerBI""]",Competitions
Vivaan Joshi,26,BITS Pilani,Mumbai,B.Sc,12th Pass,"[""Illustrator"", ""Canva"", ""Digital Marketing""]","[""HTML"", ""CSS"", ""Angular"", ""Figma""]",Intermediate,Academic research,Async exchange,Both,Morning,18,27,3.2,0.71,0.3,Marketing,"[""Node.js""]",Open Source
Sai Das,26,Amity University,Pune,M.Sc,Postgraduate,"[""JavaScript"", ""Angular""]","[""SEO"", ""Deep Learning""]",Intermediate,Crack internship,1:1,Both,Evening,4,1,4.4,0.72,1.0,AI/ML,"[""Tableau"", ""JavaScript"", ""Canva"", ""Python""]",Competitions
Aditya Saha,28,IIT Delhi,Jaipur,BBA,12th Pass,"[""SQL"", ""Illustrator"", ""Machine Learning""]","[""Angular"", ""CSS"", ""Figma"", ""Excel""]",Intermediate,Freelancing,1:1,Both,Night,3,0,3.4,0.96,,Design,"[""PowerBI""]",Open Source
Eva Gupta,24,IIT Delhi,Chennai,MBA,12th Pass,"[""Machine Learning"", ""React"", ""SEO""]","[""NoSQL"", ""Graphic Design"", ""Canva""]",Beginner,Contribute to open-source,1:1,Both,Night,9,12,3.1,0.98,0.33,Finance,"[""Flask""]",Hackathons
Arjun Khan,19,Jamia Millia Islamia,Kochi,BBA,Graduate,"[""Git"", ""React"", ""Docker"", ""Content Writing""]","[""Git"", ""CSS"", ""Content Writing"", ""Python""]",Expert,Academic research,Async exchange,Weekends,Night,12,23,4.3,0.57,0.57,Software,"[""MongoDB"", ""Django"", ""Python"", ""GCP""]",Hackathons
Aaradhya Malhotra,19,Jamia Millia Islamia,Chandigarh,M.Sc,Postgraduate,"[""Excel"", ""Illustrator"", ""Public Speaking""]","[""Project Management"", ""Kubernetes"", ""Public Speaking"", ""Canva""]",Expert,Hackathon prep,Async exchange,Weekends,Night,9,25,4.1,0.82,0.84,Marketing,"[""Python"", ""PyTorch"", ""SQL"", ""Java""]",Academic
Aadhya Mishra,25,Jadavpur University,Hyderabad,M.Sc,Graduate,"[""Photoshop"", ""Kubernetes""]","[""Video Editing"", ""C++""]",Intermediate,Crack internship,1:1,Weekdays,Morning,19,25,4.9,0.88,0.04,Finance,"[""Node.js"", ""GCP"", ""Django""]",Freelancing
Aarav Joshi,18,Osmania University,Kochi,B.Com,12th Pass,"[""JavaScript"", ""Digital Marketing"", ""Content Writing""]","[""Python"", ""Excel""]",Expert,Academic research,1:1,Weekends,Morning,5,16,5.0,0.56,0.38,Data Science,"[""React"", ""TensorFlow"", ""Flask""]",Hackathons
Sai Ghosh,28,Jadavpur University,Hyderabad,M.Sc,12th Pass,"[""CSS"", ""NoSQL"", ""Content Writing""]","[""Video Editing"", ""JavaScript"", ""Data Analysis"", ""Graphic Design""]",Expert,Learn new language,Group sessions,Weekdays,Afternoon,7,20,4.0,0.63,0.85,Data Science,"[""JavaScript"", ""PowerBI""]",Startups
Vihaan Gupta,27,Pune University,Indore,BBA,Postgraduate,"[""Photography"", ""Figma"", ""Graphic Design"", ""Photoshop""]","[""Deep Learning"", ""Content Writing"", ""NoSQL"", ""Digital Marketing""]",Beginner,Crack internship,Group sessions,Both,Morning,16,2,4.5,0.94,0.5,Cybersecurity,"[""SQL"", ""TensorFlow""]",Startups
Aadhya Reddy,23,Anna University,Kolkata,M.Sc,Graduate,"[""Graphic Design"", ""Canva"", ""React""]","[""Project Management"", ""PowerPoint"", ""Kubernetes""]",Intermediate,Build portfolio,Async exchange,Weekends,Evening,2,9,4.6,0.51,0.22,Data Science,"[""GCP""]",Competitions
Aryan Mishra,26,Jadavpur University,Patna,BA,12th Pass,"[""Project Management"", ""Angular"", ""Figma""]","[""Video Editing"", ""Machine Learning"", ""Data Analysis""]",Expert,Learn new language,Group sessions,Both,Night,12,6,3.7,0.9,0.33,Data Science,"[""Django"", ""Azure"", ""React"", ""PyTorch""]",Open Source
Vivaan Patel,23,Jadavpur University,Bhopal,MBA,Graduate,"[""Photography"", ""Photoshop"", ""Docker""]","[""SEO"", ""Graphic Design"", ""Illustrator"", ""Kubernetes""]",Beginner,Academic research,Mixed,Both,Night,3,30,4.1,0.87,0.9,Finance,"[""Flask""]",Hackathons
Myra Roy,28,Calcutta University,Delhi,BBA,Graduate,"[""Canva"", ""HTML""]","[""Canva"", ""Video Editing"", ""Git"", ""Figma""]",Beginner,Academic research,1:1,Weekends,Evening,7,3,3.5,0.64,0.0,Marketing,"[""Node.js"", ""Python""]",Hackathons
Muhammad Joshi,20,Jadavpur University,Indore,M.Sc,12th Pass,"[""Kubernetes"", ""Data Analysis"", ""Figma""]","[""C++"", ""Angular"", ""Illustrator"", ""CSS""]",Intermediate,Crack internship,Mixed,Both,Night,15,14,3.9,0.65,0.71,AI/ML,"[""Node.js""]",Startups
Sara Patel,22,Anna University,Patna,BBA,12th Pass,"[""Illustrator"", ""Angular"", ""PowerPoint"", ""CSS"", ""SQL""]","[""Java"", ""C++"", ""Deep Learning"", ""HTML""]",Intermediate,Contribute to open-source,Group sessions,Weekends,Afternoon,16,25,3.6,0.93,0.88,AI/ML,"[""Canva""]",Academic
Siya Kapoor,21,Pune University,Bhopal,M.Tech,12th Pass,"[""PowerPoint"", ""Digital Marketing"", ""Photoshop"", ""Data Analysis"", ""Canva""]","[""NoSQL"", ""HTML"", ""Canva"", ""Figma""]",Expert,Learn new language,1:1,Both,Night,12,14,4.1,0.73,0.57,Content Writing,"[""AWS"", ""Java"", ""TensorFlow""]",Academic
Arnav Malhotra,24,BITS Pilani,Pune,BBA,Postgraduate,"[""SQL"", ""Docker"", ""Public Speaking"", ""HTML""]","[""SQL"", ""C++"", ""HTML"", ""Illustrator""]",Beginner,Hackathon prep,1:1,Weekends,Night,10,12,3.9,0.53,0.58,Cybersecurity,"[""PowerBI"", ""SQL"", ""Canva"", ""AWS""]",Freelancing
Anika Malhotra,19,Pune University,Ahmedabad,BA,Postgraduate,"[""Angular"", ""Photoshop"", ""Digital Marketing"", ""Video Editing""]","[""C++"", ""Video Editing""]",Intermediate,Crack internship,Async exchange,Both,Night,9,5,4.5,0.51,0.0,Marketing,"[""TensorFlow"", ""Java"", ""Django"", ""MongoDB""]",Academic
Avni Verma,28,VIT Vellore,Kolkata,B.Tech,12th Pass,"[""Excel"", ""Figma"", ""NoSQL"", ""Illustrator""]","[""Graphic Design"", ""CSS"", ""PowerPoint""]",Beginner,Freelancing,Async exchange,Weekdays,Afternoon,19,13,4.0,0.68,0.77,Content Writing,"[""MongoDB""]",Open Source
Aaradhya Patel,19,Osmania University,Jaipur,MBA,12th Pass,"[""SEO"", ""React"", ""Figma""]","[""Angular"", ""CSS"", ""Content Writing""]",Expert,Prepare for job,Group sessions,Both,Afternoon,19,17,3.2,0.84,0.59,Business,"[""MongoDB"", ""Java"", ""Canva"", ""JavaScript""]",Open Source
Aadhya Ghosh,22,NIT Trichy,Chennai,BA,12th Pass,"[""Deep Learning"", ""Digital Marketing"", ""SEO""]","[""Kubernetes"", ""React"", ""Java""]",Expert,Learn new language,Mixed,Both,Morning,19,0,5.0,0.87,,Business,"[""React""]",Hackathons
Muhammad Verma,18,Amity University,Indore,B.Com,Graduate,"[""Graphic Design"", ""Data Analysis"", ""Content Writing""]","[""Photography"", ""Java""]",Intermediate,Freelancing,Async exchange,Both,Evening,2,15,3.6,0.82,0.07,Entrepreneurship,"[""Canva"", ""Tableau"", ""TensorFlow""]",Open Source
Vivaan Kapoor,27,BITS Pilani,Kolkata,B.Sc,Postgraduate,"[""CSS"", ""Kubernetes"", ""Content Writing"", ""Deep Learning""]","[""Public Speaking"", ""Machine Learning"", ""Project Management"", ""Illustrator""]",Intermediate,Freelancing,Mixed,Both,Evening,7,25,4.7,0.77,0.72,Data Science,"[""Django""]",Academic
Aadhya Mishra,22,NIT Trichy,Indore,B.Tech,12th Pass,"[""SQL"", ""Data Analysis"", ""Deep Learning"", ""Photography"", ""NoSQL""]","[""C++"", ""Photography"", ""Git""]",Intermediate,Build portfolio,Async exchange,Weekends,Morning,12,17,3.4,0.6,0.94,Software,"[""Node.js""]",Startups
Arnav Saha,21,Manipal Institute of Technology,Pune,B.Com,12th Pass,"[""Illustrator"", ""JavaScript"", ""Graphic Design"", ""Excel"", ""Angular""]","[""PowerPoint"", ""Canva""]",Expert,Learn new language,Async exchange,Weekdays,Morning,5,29,4.4,0.76,0.9,Data Science,"[""Django"", ""Tableau"", ""Java"", ""Node.js""]",Academic
Aryan Ghosh,27,Jadavpur University,Mumbai,B.Com,Graduate,"[""React"", ""Canva"", ""Graphic Design""]","[""C++"", ""Data Analysis""]",Beginner,Freelancing,Async exchange,Both,Morning,9,22,3.2,0.62,0.55,Content Writing,"[""PowerBI""]",Freelancing
